# MANA Agent End State Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/9/2013, 12:05:39 AM
RandSeed= -714436235
ID,name,squad,subsquad,x,y,status,fuel,goalx,goaly,hits,state,trig_step,ammo1,ammo2,ammo3,ammo4,ammo5,ammo6
0,Minefield_agent,Minefield,0,14946.0,25723.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
1,Minefield_agent,Minefield,0,15183.0,25643.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
2,Minefield_agent,Minefield,0,15145.0,25736.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
3,Minefield_agent,Minefield,0,14875.0,25674.0,Active,1000,0,0,0,Default State,0,1, 0, 0, 0, 0, 0
4,Minefield_agent,Minefield,0,14874.0,25686.0,Active,1000,0,0,0,Default State,0,1, 0, 0, 0, 0, 0
5,Minefield_agent,Minefield,0,15056.0,25766.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
6,IED_agent,IED,0,15221.0,2952.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
7,AH64D_AttHel_agent,AH64D_AttHeli,0,13870.6,24730.5,Dead,3535,2419,2853,2,Shot At State (Pri),8306,1150,1,28, 0, 0, 0
8,AH64D_AttHel_agent,AH64D_AttHeli,0,12242.1,26528.3,Dead,37615,2419,2853,2,Injured State,4050,1188,7,30, 0, 0, 0
9,Bradley M2A3_agent,Bradley M2A3,0,13607.8,23992.6,Dead,1000,14476,23835,1,Dembuss Child,12665,892,4384,6, 0, 0, 0
10,Bradley_Infa_agent,Bradley_Infantry,0,13614.8,30012.2,Dead,8600,13629,39556,1,Shot At State (Pri),12512,1200,1250,70,1, 0, 0
11,Bradley_Infa_agent,Bradley_Infantry,0,13396.3,26085.2,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,9696,1200,1250,70,1, 0, 0
12,Bradley_Infa_agent,Bradley_Infantry,0,13489.2,30014.6,Active,8600,13629,39556,0,Shot At State (Pri),12642,1190,1250,70,1, 0, 0
13,Bradley_Infa_agent,Bradley_Infantry,0,13607.0,29394.9,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,4986,1200,1250,70,1, 0, 0
14,Bradley_Infa_agent,Bradley_Infantry,0,13744.1,29389.3,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,4895,1200,1250,70,1, 0, 0
15,Bradley_Infa_agent,Bradley_Infantry,0,13748.2,30229.3,Active,8600,13629,39556,0,Taken Shot State (Pri),12644,1180,1250,70,1, 0, 0
16,Bradley_Infa_agent,Bradley_Infantry,0,13772.6,25893.6,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,9515,1180,1250,70,1, 0, 0
17,Red_Inf_Squa_agent,Red_Inf_Squad,0,14257.0,3233.0,Dead,8600,0,0,1,Shot At State (Pri),241,2000,3500,20,1, 0, 0
18,Red_Inf_Squa_agent,Red_Inf_Squad,1,13880.8,3033.6,Dead,8600,0,0,1,Shot At State (Pri),1362,1940,3500,20,1, 0, 0
